,0,1
x_0,0.9999747099920298,0.9999747099919786
area,0.0011460112687778083,0.001146011268777724
bedrooms,6.999042121275679e-07,6.999042121275272e-07
bathrooms,2.937302297359782e-07,2.937302297359627e-07
stories,4.0958933448081113e-07,4.0958933448078535e-07
parking,1.473347055696902e-07,1.473347055696782e-07
mainroad,,1.9813538716516388e-07
guestroom,,3.25697673876206e-08
basement,,7.4328282232932e-08
hotwaterheating,,1.0327497293228673e-08
airconditioning,,5.790871013023399e-08
prefarea,,4.2859402741857464e-08
