,0,0,0,0
x_0,0.7237219274147197,0.7237218244847378,-0.03671134538014247,-0.029128425899021572
area,840.5020169387394,840.5018504004698,0.38036041973279616,0.2702279280181816
bedrooms,2.5623467493884093,2.562346432069449,0.04856399512289422,0.03580411281790433
bathrooms,1.4367627754779366,1.4367626306939687,0.3286428673714771,0.2962780840793082
stories,2.134406575398388,2.1344063565338405,0.24732902765463255,0.19771329574900012
parking,0.4647094392634963,0.46470939028756125,0.11538109872353666,0.09252379727292767
mainroad,,0.641125834837055,,0.09717246435552304
guestroom,,0.24753042366266356,,0.08432042155275041
basement,,0.39747328589623454,,0.07729673210370736
hotwaterheating,,0.07854685248889318,,0.07504752927575221
airconditioning,,0.5126914163367772,,0.22318705726610336
prefarea,,0.272029468131485,,0.15156131422073552
